"yearNumber","Time","dcAnnualHealthUS","dcOUDNoTxExcess","dcOUDTxExcess","dcMethadone","dcBuprenorphine","dcNaltrexone","dcOverdoseNonfatal","dcOverdoseFatal","dcNetProductivity","dcCM","dcTherapy","dcHubSpoke","dcED","dcTH","nRun"
6,2027,5460.39735357743,6363.20538228241,5090.22931212325,4770.7761419607,6113.34184987357,10933.5894342381,3665.60996760639,2987.92608194054,646414.735974049,3135.58721897383,3212.32609600008,24338.0999426539,415.580224435844,0,"500"
7,2028,5301.35665395867,6177.8693031868,4941.9702059449,4631.82149704922,5935.28334939182,10615.1353730467,3558.84462874406,2900.89910868014,627587.122304901,3044.25943589692,3118.76320000008,23629.223245295,403.475946054218,0,"500"
8,2029,5146.94820772686,5997.93136231728,4798.0293261601,4496.91407480507,5762.41101882701,10305.9566728609,3455.18895994569,2816.4069016312,609307.885732914,2955.59168533682,3027.92543689328,22940.993442034,391.724219470114,0,"500"
9,2030,4997.03709488045,5823.23433234688,4658.28089918456,4365.93599495638,5594.57380468642,10005.7831775348,3354.55238829679,2734.37563265165,591561.054109625,2869.50649061827,2939.73343387697,22272.8091670233,380.314776184577,0,"500"
10,2031,4851.49232512665,5653.62556538532,4522.60281474229,4238.77281063726,5431.62505309361,9714.35259954838,3256.84697892892,2654.73362393364,574331.120494782,2785.92863166823,2854.11012997764,21624.0865699256,369.237646781143,0,"500"
0,2021,6520,7598,6078,7607.06436390942,6134.95033757063,14861.5758453603,4376.93,3567.74,771853,0,0,0,0,0,"501"
1,2022,6330.09708737864,7376.69902912621,5900.97087378641,7385.49938243633,5956.2624636608,14428.7144129712,4249.44660194175,3463.82524271845,749371.844660194,1021.2400876883,1326.09586945349,10888.0038212525,201.77377257944,0,"501"
2,2023,6145.72532755208,7161.84371759827,5729.09793571496,7170.38774993818,5782.77909093282,14008.4605951176,4125.6763125648,3362.93712885286,727545.480252616,1982.99046153069,2574.94343583202,21141.7549927233,391.793733163961,0,"501"
3,2024,5966.7236189826,6953.24632776531,5562.2310055485,6961.54150479435,5614.34863197361,13600.4471797259,4005.51098307263,3264.98750374064,706354.835196714,2887.85018669518,3749.91762499809,30788.9635816359,570.573397811594,0,"501"
4,2025,5792.93555241029,6750.7245900634,5400.22427723156,6758.77815999452,5450.82391453748,13204.3176502193,3888.84561463362,3169.89078033072,685781.393394868,2803.73804533512,3640.69672329912,29892.1976520737,553.954755156887,0,"501"
5,2026,5624.20927418475,6554.10154375088,5242.93619148695,6561.920543684,5292.06205294901,12819.7258739993,3775.57826663458,3077.56386439876,665807.17805327,2722.07577217002,3534.65701291176,29021.5511185182,537.820150637755,0,"501"
6,2027,5460.39735357743,6363.20538228241,5090.22931212325,6370.7966443534,5137.92432325147,12446.3357999993,3665.60996760639,2987.92608194054,646414.735974049,2642.79201181555,3431.70583777841,28176.2632218623,522.155486056072,0,"501"
7,2028,5301.35665395867,6177.8693031868,4941.9702059449,6185.23946053728,4988.27604199172,12083.8211650479,3558.84462874406,2900.89910868014,627587.122304901,2565.81748719957,3331.75324056156,27355.5953610314,506.947073840847,0,"501"
8,2029,5146.94820772686,5997.93136231728,4798.0293261601,6005.08685489056,4842.98644853565,11731.8652087843,3455.18895994569,2816.4069016312,609307.885732914,2491.08493902871,3234.71188404035,26558.8304476033,492.181625088201,0,"501"
9,2030,4997.03709488045,5823.23433234688,4658.28089918456,5830.18141251511,4701.92859081131,11390.160396878,3354.55238829679,2734.37563265165,591561.054109625,2418.52906701816,3140.49697479646,25785.2722792265,477.84623794971,0,"501"
10,2031,4851.49232512665,5653.62556538532,4522.60281474229,5660.37030341272,4564.97921437991,11058.4081523087,3256.84697892892,2654.73362393364,574331.120494782,2348.08647283317,3049.02618912278,25034.2449312878,463.928386358941,0,"501"
0,2021,6520,7598,6078,6603.56670701457,5701.98742774082,13405.4623540384,4376.93,3567.74,771853,0,0,0,0,0,"502"
1,2022,6330.09708737864,7376.69902912621,5900.97087378641,6411.22981263551,5535.91012402022,13015.011994212,4249.44660194175,3463.82524271845,749371.844660194,1021.47444347846,1338.37248650108,11684.9248009318,169.067755507323,0,"502"
2,2023,6145.72532755208,7161.84371759827,5729.09793571496,6224.49496372379,5374.6700233206,12635.9339749631,4125.6763125648,3362.93712885286,727545.480252616,1983.44552131741,2598.78152718657,22689.1743707413,328.286903897715,0,"502"
3,2024,5966.7236189826,6953.24632776531,5562.2310055485,6043.1989939066,5218.12623623359,12267.897063071,4005.51098307263,3264.98750374064,706354.835196714,2888.51289512244,3784.63329201927,33042.4869476816,478.087724122886,0,"502"
4,2025,5792.93555241029,6750.7245900634,5400.22427723156,5867.1834892297,5066.14197692582,11910.5796728845,3888.84561463362,3169.89078033072,685781.393394868,2804.38145157518,3674.40125438764,32080.0844152248,464.162838954258,0,"502"
5,2026,5624.20927418475,6554.10154375088,5242.93619148695,5696.29464973758,4918.5844436173,11563.6695853247,3775.57826663458,3077.56386439876,665807.17805327,2722.70043842251,3567.37985862878,31145.7130244901,450.643532965299,0,"502"
6,2027,5460.39735357743,6363.20538228241,5090.22931212325,5530.38315508503,4775.32470254107,11226.8636750725,3665.60996760639,2987.92608194054,646414.735974049,2643.39848390535,3463.47559090173,30238.5563344564,437.517993170194,0,"502"
7,2028,5301.35665395867,6177.8693031868,4941.9702059449,5369.30403406313,4636.23757528259,10899.8676457015,3558.84462874406,2900.89910868014,627587.122304901,2566.40629505373,3362.59766106964,29357.8216839383,424.774750650673,0,"502"
8,2029,5146.94820772686,5997.93136231728,4798.0293261601,5212.91653792537,4501.20152940057,10582.3957725257,3455.18895994569,2816.4069016312,609307.885732914,2491.65659713955,3264.65792336858,28502.7394989692,412.402670534634,0,"502"
9,2030,4997.03709488045,5823.23433234688,4658.28089918456,5061.08401740327,4370.09857223356,10274.1706529376,3354.55238829679,2734.37563265165,591561.054109625,2419.08407489276,3169.57079938697,27672.5626203584,400.390942266635,0,"502"
10,2031,4851.49232512665,5653.62556538532,4522.60281474229,4913.67380330415,4242.81414779958,9974.92296401708,3256.84697892892,2654.73362393364,574331.120494782,2348.62531542987,3077.25320328832,26866.5656508334,388.729070161782,0,"502"
0,2021,6520,7598,6078,8256.64812165266,5520.06114399992,15476.3058105102,4376.93,3567.74,771853,0,0,0,0,0,"503"
1,2022,6330.09708737864,7376.69902912621,5900.97087378641,8016.16322490549,5359.28266407759,15025.5396218545,4249.44660194175,3463.82524271845,749371.844660194,904.903225212744,1484.14617701822,9263.17832597944,138.825374844849,0,"503"
2,2023,6145.72532755208,7161.84371759827,5729.09793571496,7782.68274262669,5203.18705250252,14587.9025454898,4125.6763125648,3362.93712885286,727545.480252616,1757.09364118979,2881.83723692859,17986.754031028,269.563834650192,0,"503"
3,2024,5966.7236189826,6953.24632776531,5562.2310055485,7556.00266274436,5051.63791505099,14163.0121800872,4005.51098307263,3264.98750374064,706354.835196714,2558.87423474242,4196.85034504164,26194.301986934,392.568691238143,0,"503"
